"#";"country";"family";"name";"shape";"h";"t_web";"b_upper";"t_upper";"b_lower";"t_lower";"r";"ex";"ey";"ez";"zs";"A";"A_y";"A_z";"Iy";"Wy_u";"Wy_l";"Wply";"i_y";"Iz";"Wz";"Wplz";"i_z";"It";"Wt";"Cw";"alpha_y";"alpha_z";"alpha_lt";"Product"
"#";"-";"-";"-";"-";"mm";"mm";"mm";"mm";"mm";"mm";"mm";"cm";"cm";"cm";"cm";"cm2";"cm2";"cm2";"cm4";"cm3";"cm3";"cm3";"cm";"cm4";"cm3";"cm3";"cm";"cm4";"cm3";"cm6";"-";"-";"-";"-"
;"Japan";"H(const)";"H-400x200x9x12x13";"H";400;9;200;12;200;12;13;0;0;0;20;83.29070842;40;32.90892368;22554.95086;-1127.747543;1127.747543;1276.14806;16.45593884;1603.16568;-160.316568;248.6880769;4.387235281;36.38539238;19.52164919;602176;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-400x200x9x16x13";"H";400;9;200;16;200;16;13;0;0;0;20;98.57070841999999;53.33333333000001;33.47559035;27820.173849999996;-1391.008693;1391.008693;1559.775777;16.79987231;2136.450414;-213.6450414;328.5260769;4.655565807;68.965438;30.09162449;786432;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-400x200x9x19x13";"H";400;9;200;19;200;19;13;0;0;0;20;110.0307084;63.33333333;33.90059035;31621.523550000005;-1581.076178;1581.076178;1768.485564;16.95252685;2536.413964;-253.6413964;388.4045769;4.801236656;106.0226473;40.57742193;919353;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-400x200x9x22x13";"H";400;9;200;22;200;22;13;0;0;0;20;121.4907084;73.33333333;34.32559035;35298.67878;-1764.933939;1764.933939;1973.757352;17.04541945;2936.377514;-293.6377514;448.2830769;4.91625513;155.8942475;53.136438;1047816;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-400x200x12x22x13";"H";400;12;200;22;200;22;13;0;0;0;20;132.1707084;73.33333333;43.77559035000001;36426.62918;-1821.331459;1821.331459;2068.809352;16.60129181;2939.696078;-293.9696078;454.1076832;4.716106541;170.5889403;56.90306682;1047816;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-450x200x9x12x13";"H";450;9;200;12;200;12;13;0;0;0;22.5;87.79070842;40;36.65892368;29465.63308;-1309.583693;1309.583693;1489.999831;18.32034347;1603.4694300000003;-160.346943;249.70057690000002;4.273720003;37.60039238;20.17352628;767376;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-450x200x9x16x13";"H";450;9;200;16;200;16;13;0;0;0;22.5;103.0707084;53.33333333000001;37.22559035;36244.49466;-1610.86643;1610.86643;1811.827548;18.75225042;2136.754164;-213.6754164;329.5385769;4.553125792;70.180438;30.62176429;1004565.333;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-450x200x9x19x13";"H";450;9;200;19;200;19;13;0;0;0;22.5;114.5307084;63.33333333;37.65059035;41161.0183;-1829.378591;1829.378591;2049.187335;18.9575444;2536.717714;-253.6717714;389.4170769;4.706251124;107.23764729999999;41.04243171;1176486.333;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-450x200x9x22x13";"H";450;9;200;22;200;22;13;0;0;0;22.5;125.9907084;73.33333333;38.07559035;45936.15746;-2041.606998;2041.606998;2283.109123;19.09449043;2936.681264;-293.6681264;449.2955769;4.827909797;157.1092475;53.55056984;1343349.333;0.21;0.34;0.49;2
